epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,868.4,2.10339,2.66238,1.25386,0.61238,0.47098,0.5327,0.25362,1.78649,1.58172,1.48928,0.0099981,0.0033327,0.0099981,0.0033327,0.0099981,0.0033327,0.0099981,0.0033327
2,1669.56,2.13982,2.01974,1.2601,0.56547,0.43628,0.4645,0.20007,1.92065,1.59305,1.53709,0.0198001,0.00660004,0.0198001,0.00660004,0.0198001,0.00660004,0.0198001,0.00660004
3,2453.41,2.19262,2.03389,1.30602,0.59856,0.44959,0.50197,0.22405,1.97898,1.69981,1.70955,0.0294041,0.00980138,0.0294041,0.00980138,0.0294041,0.00980138,0.0294041,0.00980138
4,3233.74,2.21862,2.01934,1.32577,0.61984,0.43081,0.4974,0.2298,1.90424,1.68948,1.62527,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,4028.87,2.16329,1.90095,1.29894,0.62685,0.48256,0.53989,0.25284,1.87679,1.54407,1.62791,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,4810.04,2.13679,1.84336,1.29043,0.63118,0.47271,0.53665,0.25741,1.83221,1.48123,1.57866,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,5609.67,2.09061,1.80949,1.26612,0.63514,0.47227,0.54084,0.26396,1.75135,1.41956,1.50726,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,6411.36,2.0586,1.74722,1.23516,0.61496,0.48737,0.5375,0.25223,1.77086,1.42197,1.50501,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,7216.13,2.04332,1.71547,1.22933,0.67253,0.50268,0.58815,0.29216,1.69979,1.33704,1.45309,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,8008.26,2.0229,1.67135,1.22133,0.64771,0.48983,0.57235,0.28815,1.70653,1.33203,1.48674,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,8795,2.00766,1.65795,1.20647,0.65134,0.50615,0.58373,0.29187,1.70277,1.3125,1.44495,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,9584.59,1.9863,1.64067,1.19441,0.6856,0.52012,0.60381,0.3001,1.69001,1.25727,1.44393,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,10372.8,1.99134,1.62945,1.20192,0.68053,0.52169,0.60604,0.30155,1.69258,1.25751,1.43917,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,11168.5,1.96629,1.59656,1.19016,0.67394,0.51677,0.60411,0.30334,1.67201,1.22614,1.44437,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,11956.3,1.96529,1.58646,1.18802,0.68571,0.51874,0.60785,0.30969,1.63873,1.22203,1.41524,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,12744.3,1.95736,1.57436,1.17387,0.68845,0.52727,0.62062,0.31297,1.65671,1.19034,1.39983,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,13538.1,1.94917,1.56242,1.18518,0.71194,0.53163,0.62942,0.32305,1.59396,1.15847,1.36874,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,14353.7,1.93889,1.54792,1.17045,0.70645,0.54102,0.63818,0.32614,1.61755,1.14565,1.36479,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,15184.4,1.9397,1.54497,1.16136,0.70006,0.53693,0.63075,0.32077,1.59724,1.1562,1.34886,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,16006.5,1.93162,1.5205,1.16318,0.68715,0.54382,0.63584,0.32621,1.60043,1.13153,1.36455,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,16806.5,1.9144,1.52237,1.15856,0.70556,0.54102,0.63707,0.32988,1.5904,1.10567,1.3524,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,17607.9,1.90802,1.49866,1.14552,0.69715,0.55231,0.64416,0.336,1.5857,1.10127,1.34023,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,18426.8,1.91025,1.5149,1.14621,0.72361,0.54464,0.64708,0.33603,1.57514,1.10472,1.33156,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,864.257,1.89872,1.49221,1.14331,0.71403,0.55231,0.64781,0.33781,1.58892,1.10412,1.33736,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,1698.03,1.89474,1.48385,1.14235,0.72821,0.55008,0.65018,0.33905,1.55489,1.07924,1.31426,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,2518.96,1.87884,1.46312,1.13758,0.71699,0.56526,0.65485,0.34111,1.54963,1.07819,1.31898,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,3321.03,1.87988,1.45082,1.13222,0.72055,0.54784,0.64566,0.3396,1.54884,1.06148,1.30613,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,4193.29,1.87343,1.44017,1.12589,0.71194,0.56222,0.6537,0.34314,1.55282,1.06024,1.30555,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,5030.67,1.88103,1.44461,1.13341,0.72837,0.55924,0.65952,0.34522,1.54595,1.04733,1.30073,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,5834.35,1.85818,1.44085,1.12603,0.71603,0.55477,0.65255,0.34294,1.51725,1.04357,1.28092,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,6641.39,1.84934,1.41919,1.11144,0.71872,0.56666,0.65773,0.34689,1.53448,1.04837,1.28787,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,7448.54,1.85208,1.41583,1.11432,0.71982,0.56729,0.66025,0.3474,1.5259,1.03325,1.29166,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,8264.38,1.84013,1.3936,1.10984,0.72174,0.55913,0.65797,0.34908,1.51786,1.01675,1.28252,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,9075.05,1.83402,1.38396,1.10356,0.72198,0.56401,0.65982,0.34888,1.52259,1.02904,1.28855,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,9898.58,1.82551,1.37983,1.09753,0.72429,0.56644,0.66572,0.34798,1.52265,0.99908,1.28218,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,10716.7,1.83132,1.38613,1.10978,0.7334,0.56685,0.6692,0.35222,1.52605,1.00042,1.28302,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,11547.7,1.81795,1.36514,1.10289,0.72258,0.57042,0.66224,0.35118,1.50726,1.00844,1.27357,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,810.72,1.79816,1.34462,1.09225,0.73378,0.56796,0.66771,0.35399,1.51738,0.99387,1.27476,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,1620.82,1.79829,1.33798,1.09147,0.73158,0.57399,0.67074,0.35838,1.49051,0.97119,1.25743,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,2428.06,1.7804,1.31616,1.08812,0.73114,0.58181,0.67321,0.35745,1.49993,0.96732,1.26751,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,3232.28,1.78678,1.31157,1.08749,0.72443,0.58059,0.67174,0.35922,1.49522,0.96193,1.2624,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,4035.49,1.78191,1.30897,1.08076,0.72965,0.58104,0.67604,0.36137,1.48097,0.95965,1.24973,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
